DISTCODE地区代码,County Name,County Name E,City Name,City Name E,Province Name,Province Name E,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
340102,瑶海区,Yaohai District,合肥市,Hefei City,安徽省,Anhui Province,0.141486585,0.159279683,0.191988351,0.162593653,0.175163367,0.160107872,0.150151505,0.177585585,0.16965682,0.162910583,0.159123646,0.163177413,0.158292146,0.172154629,0.175079058,0.177943346,0.173408886,0.16719653
340103,庐阳区,Luyang District,合肥市,Hefei City,安徽省,Anhui Province,0.146429325,0.15966668,0.19289122,0.160432058,0.173406239,0.15911197,0.155536671,0.183425327,0.175375545,0.171727388,0.171775238,0.170471173,0.16556312,0.186257874,0.188104199,0.196464463,0.1904825,0.198376283
340104,蜀山区,Shushan District,合肥市,Hefei City,安徽省,Anhui Province,0.163438547,0.179502413,0.209961623,0.164249538,0.174834445,0.163037295,0.15582391,0.173241637,0.155652058,0.161419691,0.165791691,0.159910686,0.161602813,0.175492414,0.176063263,0.184987869,0.181160197,0.18346587
340111,包河区,Baohe District,合肥市,Hefei City,安徽省,Anhui Province,0.189729749,0.216867105,0.247354942,0.207935353,0.225178693,0.208358867,0.196628316,0.222708317,0.220096839,0.218733537,0.210838361,0.207987404,0.215660381,0.226165762,0.223147521,0.233682479,0.228661688,0.230142981
340121,长丰县,Changfeng County,合肥市,Hefei City,安徽省,Anhui Province,2.20785218,2.356261686,2.978669494,2.600577521,2.620123706,2.693379451,2.549887536,3.009558305,2.996226877,2.850454037,2.959889123,2.790700562,2.868191631,2.969111276,3.346789004,3.183235816,3.093530871,2.835054771
340122,肥东县,Feidong County,合肥市,Hefei City,安徽省,Anhui Province,2.734036987,3.090567284,3.557321587,3.041541566,3.249230903,3.200406484,2.974851516,3.48309303,3.478458967,3.339054548,3.351242555,3.164729295,3.351238718,3.476099025,3.745334387,3.75873455,3.618916717,3.387481777
340123,肥西县,Feixi County,合肥市,Hefei City,安徽省,Anhui Province,2.731969446,3.128728887,3.621248387,3.193759281,3.431804547,3.097614461,3.057458194,3.461427132,3.626362954,3.490822759,3.409851141,3.301924046,3.407062447,3.499787869,3.754022202,3.923850048,3.638141838,3.52031168
340202,镜湖区,Jinghu District,芜湖市,Wuhu City,安徽省,Anhui Province,0.023569194,0.026728344,0.028202829,0.02542729,0.027328583,0.026481415,0.024150736,0.026264143,0.024626543,0.026449179,0.024152025,0.022554398,0.025236452,0.026874697,0.026523967,0.028743108,0.025906321,0.029157666
340203,弋江区,Yijiang District,芜湖市,Wuhu City,安徽省,Anhui Province,0.222159098,0.22942589,0.232943574,0.216659189,0.225567658,0.214460807,0.210967655,0.22682254,0.2381868,0.239418421,0.217511375,0.208123887,0.230883482,0.231412293,0.244455756,0.253552852,0.221176618,0.232309364
340207,鸠江区,Jiujiang District,芜湖市,Wuhu City,安徽省,Anhui Province,0.325504191,0.339767877,0.359544738,0.33010237,0.342353166,0.323008593,0.319267859,0.351538978,0.355615379,0.351000427,0.334931056,0.320847256,0.334856531,0.341268027,0.368227955,0.390501919,0.343609452,0.36616324
340208,三山区,Sanshan District,芜湖市,Wuhu City,安徽省,Anhui Province,0.372778772,0.401038278,0.405593336,0.370933051,0.404900658,0.378076778,0.358235504,0.399957915,0.412522399,0.408498995,0.383520044,0.375969196,0.403992819,0.409494187,0.441282625,0.438426244,0.383548996,0.396109614
340221,芜湖县,Wuhu County,芜湖市,Wuhu City,安徽省,Anhui Province,1.102420094,1.16909406,1.192688487,1.062284386,1.152212691,1.090737996,1.052018562,1.144451359,1.197030166,1.207678267,1.163322428,1.183103774,1.263261752,1.218584856,1.350361687,1.354462221,1.202876686,1.222602322
340222,繁昌县,Fanchang County,芜湖市,Wuhu City,安徽省,Anhui Province,1.0108682,1.054109529,1.110024573,0.977970604,1.068394365,0.938181284,0.933591695,1.030455487,1.061491243,1.054021208,1.047254428,1.053165735,1.100080047,1.108196043,1.230471738,1.224354727,1.080515915,1.076559154
340223,南陵县,Nanling County,芜湖市,Wuhu City,安徽省,Anhui Province,2.112739369,2.228058797,2.297332862,1.993753072,2.269169091,1.976077023,2.032124157,2.213936292,2.199274852,2.223452702,2.182330424,2.246106061,2.346104002,2.300487254,2.562617732,2.530414744,2.153741066,2.193922114
340302,龙子湖区,Longzihu District,蚌埠市,Bengbu City,安徽省,Anhui Province,0.180261955,0.17612141,0.232078075,0.194896242,0.221299186,0.206599982,0.223407579,0.234088555,0.233449438,0.210018628,0.235672535,0.222114507,0.211694565,0.207536742,0.24270663,0.235960124,0.235932692,0.223619512
340303,蚌山区,Bangshan District,蚌埠市,Bengbu City,安徽省,Anhui Province,0.095928579,0.094378096,0.127759459,0.109072455,0.118147958,0.117527702,0.123597663,0.132353822,0.131416434,0.118654886,0.133583803,0.118631925,0.114470867,0.115736868,0.138043878,0.130237641,0.127800114,0.115850935
340304,禹会区,Yuhui District,蚌埠市,Bengbu City,安徽省,Anhui Province,0.15274004,0.149623239,0.199046654,0.161822412,0.191456575,0.187259252,0.195383468,0.208483997,0.214108648,0.19014597,0.211082752,0.196060986,0.182776487,0.182155529,0.222876879,0.205781009,0.199893372,0.186037749
340311,淮上区,Huaishang District,蚌埠市,Bengbu City,安徽省,Anhui Province,0.285192935,0.291923174,0.375608324,0.325343621,0.35984593,0.344482659,0.369084599,0.394325283,0.395738681,0.35050117,0.379838641,0.373534506,0.349243342,0.32501492,0.418337406,0.389189529,0.387545381,0.354015641
340321,怀远县,Huaiyuan County,蚌埠市,Bengbu City,安徽省,Anhui Province,2.95933749,2.846152778,3.739929493,3.383783205,3.620565452,3.543746112,3.670122539,4.036820803,4.003171597,3.442194612,3.928203553,3.766038154,3.469836157,3.204812905,4.383625342,4.159420333,3.813694467,3.762713257
340322,五河县,Wuhe County,蚌埠市,Bengbu City,安徽省,Anhui Province,2.05253031,2.13754851,2.630100865,2.278996836,2.497333571,2.408337974,2.597772886,2.742377322,2.763958862,2.489548914,2.630382241,2.62324208,2.52123087,2.342758214,3.057293059,2.842171155,2.677355998,2.460874963
340323,固镇县,Guzhen County,蚌埠市,Bengbu City,安徽省,Anhui Province,1.732497908,1.692585737,2.093595606,2.013914921,2.068449396,1.995398559,2.12004755,2.40836473,2.305808155,1.955593719,2.307597136,2.182425452,2.082420437,1.835849578,2.488119629,2.394941091,2.321684178,2.093158743
340402,大通区,Datong District,淮南市,Huainan City,安徽省,Anhui Province,0.358715412,0.353988601,0.490956297,0.394394888,0.433787417,0.443405303,0.451366884,0.485142121,0.492736728,0.468964462,0.499216964,0.461294659,0.437689093,0.455171971,0.54481659,0.521211659,0.492619275,0.454821625
340403,田家庵区,Tianjia'an District,淮南市,Huainan City,安徽省,Anhui Province,0.267653235,0.249777127,0.384108286,0.317166846,0.331127627,0.342396107,0.342401723,0.380941121,0.383849541,0.361816893,0.385597732,0.345260983,0.332757103,0.344779359,0.416471949,0.402078816,0.377189889,0.355031651
340404,谢家集区,Xiejiaji District,淮南市,Huainan City,安徽省,Anhui Province,0.292747519,0.274883625,0.420299318,0.330437198,0.361470554,0.37744841,0.359929247,0.415672334,0.428694864,0.392859999,0.416821558,0.385136888,0.375549312,0.390008002,0.485971308,0.459961789,0.412760611,0.365250808
340405,八公山区,Bagongshan District,淮南市,Huainan City,安徽省,Anhui Province,0.069789658,0.064971612,0.09655013,0.082466246,0.086350989,0.082846941,0.085326019,0.091746274,0.092821808,0.087333877,0.097419495,0.09047762,0.084652219,0.090978362,0.101943784,0.103544689,0.099423603,0.096577043
340406,潘集区,Panji District,淮南市,Huainan City,安徽省,Anhui Province,0.668969026,0.690265369,0.921800676,0.774918808,0.845902917,0.852324682,0.874716287,0.910201641,0.970004641,0.857279589,0.916580522,0.896515845,0.796239752,0.802816492,1.030315451,0.984410656,0.876490511,0.815300485
340421,凤台县,Fengtai County,淮南市,Huainan City,安徽省,Anhui Province,1.239861602,1.270264225,1.738216366,1.481104826,1.592134279,1.567519039,1.636912561,1.737332233,1.802488075,1.568445305,1.695593171,1.623631513,1.454501586,1.452418636,1.904940752,1.778138021,1.607818082,1.564391334
340502,金家庄区,Jinjiazhuang District,马鞍山市,Maanshan City,安徽省,Anhui Province,0.064945507,0.070404968,0.080748917,0.070535262,0.067746316,0.060788373,0.058196198,0.064449286,0.061789202,0.064231243,0.058398696,0.053623841,0.059811475,0.060332651,0.058259607,0.065359707,0.059834179,0.062469104
340503,花山区,Huashan District,马鞍山市,Maanshan City,安徽省,Anhui Province,0.140148012,0.146037072,0.170658766,0.154635805,0.148809989,0.139770364,0.135263843,0.154126096,0.159066012,0.157564095,0.156619057,0.150437083,0.16070446,0.160467054,0.168421571,0.176297372,0.159542773,0.165721602
340504,雨山区,Yushan District,马鞍山市,Maanshan City,安徽省,Anhui Province,0.201340989,0.210416166,0.237825296,0.211734139,0.206872224,0.199102618,0.189805681,0.213099501,0.212459691,0.219508166,0.21134983,0.19728172,0.216951332,0.209318417,0.219378877,0.237231724,0.22161917,0.229900161
340521,当涂县,Dangtu County,马鞍山市,Maanshan City,安徽省,Anhui Province,1.868738865,1.972407543,2.146372228,1.995603223,1.962817629,1.874420057,1.873516599,2.110613003,2.169641332,2.099420988,2.044527945,2.035186977,2.092674014,2.0840286,2.28142434,2.260188436,1.944860842,1.989186647
340602,杜集区,Duji District,淮北市,Huaibei City,安徽省,Anhui Province,0.291946187,0.298400108,0.32245223,0.325534374,0.38233777,0.329280823,0.353937066,0.38336744,0.390913387,0.333451106,0.358067767,0.333512287,0.328792195,0.310546225,0.383685451,0.390033097,0.371071039,0.389043732
340603,相山区,Xiangshan District,淮北市,Huaibei City,安徽省,Anhui Province,0.169843516,0.177409266,0.190525001,0.194715754,0.226205822,0.189928914,0.206409341,0.216740904,0.223141322,0.187628419,0.203027149,0.186217007,0.174180606,0.164670165,0.210311391,0.210650447,0.197462456,0.201723532
340604,烈山区,Lieshan District,淮北市,Huaibei City,安徽省,Anhui Province,0.467246038,0.466682907,0.515363863,0.537623803,0.598603099,0.507624891,0.537206335,0.611118671,0.610366113,0.51451655,0.582327529,0.53026124,0.510299857,0.477922016,0.637013429,0.610272316,0.584750917,0.623671117
340621,濉溪县,Suixi County,淮北市,Huaibei City,安徽省,Anhui Province,2.459248416,2.50852759,2.97215336,2.990753058,3.108068307,2.684609092,2.750106715,3.297896689,3.197327584,2.74585609,3.076438304,2.89780338,2.748052958,2.470472503,3.454005401,3.055123306,2.869768691,3.138280741
340702,铜官山区,Tongguanshan District,铜陵市,Tongling City,安徽省,Anhui Province,0.034966498,0.036791678,0.039789369,0.035400518,0.039734707,0.034791032,0.033908232,0.038092099,0.036950746,0.037854317,0.036630971,0.03881583,0.039533549,0.041228086,0.043674232,0.045030408,0.039885575,0.045201502
340703,狮子山区,Shizishan District,铜陵市,Tongling City,安徽省,Anhui Province,0.073307291,0.077396057,0.081525404,0.067652888,0.07872956,0.072678583,0.071025147,0.08182099,0.080487488,0.080703297,0.073711704,0.078819204,0.083520262,0.082315785,0.086970822,0.08713065,0.076780907,0.086088491
340711,郊区,Jiao District,铜陵市,Tongling City,安徽省,Anhui Province,0.160418795,0.141911612,0.152542684,0.173204985,0.192522979,0.174413663,0.172996236,0.163016686,0.198764961,0.180562556,0.168427413,0.183360906,0.210254528,0.201802742,0.198256845,0.207411822,0.224459392,0.198376435
340721,铜陵县,Tongling County,铜陵市,Tongling City,安徽省,Anhui Province,1.246892582,1.317696151,1.360980229,1.186594198,1.33346241,1.169346545,1.177287024,1.282838333,1.330950771,1.348642033,1.288908464,1.347046121,1.416529057,1.418531099,1.535574773,1.507968745,1.307664896,1.393648839
340802,迎江区,Yingjiang District,安庆市,Anqing City,安徽省,Anhui Province,0.317950148,0.336784125,0.312777739,0.287915847,0.339183759,0.308056725,0.308189506,0.319083902,0.334176258,0.336935853,0.299588321,0.329613066,0.343555026,0.33161073,0.348593995,0.340104174,0.295713751,0.3258665
340803,大观区,Daguan District,安庆市,Anqing City,安徽省,Anhui Province,0.295917033,0.313688772,0.304594841,0.278617042,0.31864793,0.286326266,0.29242557,0.311925464,0.320845521,0.321596233,0.291010524,0.333502382,0.31161123,0.324303214,0.325124169,0.340192766,0.293752503,0.312928855
340811,宜秀区,Yixiu District,安庆市,Anqing City,安徽省,Anhui Province,0.606697127,0.644435463,0.628729338,0.582508477,0.651672883,0.584143992,0.588024831,0.627581183,0.650515771,0.648703483,0.622794449,0.667947757,0.668659613,0.675554707,0.713115523,0.724056748,0.634043024,0.684354324
340822,怀宁县,Huaining County,安庆市,Anqing City,安徽省,Anhui Province,2.298330615,2.399021286,2.362040824,2.206858742,2.507291883,2.248608326,2.225280735,2.406958099,2.443556088,2.460558264,2.350678241,2.572783443,2.539214023,2.543954917,2.749263251,2.717710373,2.361318243,2.521432721
340823,枞阳县,Zongyang County,安庆市,Anqing City,安徽省,Anhui Province,2.946701995,3.194949779,3.161726898,2.836051195,3.269978954,2.918796405,2.940200512,3.179384553,3.288947117,3.265906832,3.212497193,3.421729229,3.448479654,3.444077581,3.70348285,3.676042523,3.099281859,3.347028353
340824,潜山县,Qianshan County,安庆市,Anqing City,安徽省,Anhui Province,3.035070339,3.122612914,3.293021677,3.082615705,3.507728741,3.088294674,3.102786866,3.369865706,3.376698771,3.329917305,3.325077376,3.505076337,3.445023472,3.529708419,3.766679308,3.769333953,3.414101085,3.509906973
340825,太湖县,Taihu County,安庆市,Anqing City,安徽省,Anhui Province,3.717619209,3.610843652,4.017548987,3.771420653,4.216585588,3.774438615,3.741505512,4.029011055,4.025457124,4.100094837,3.979892966,4.36030598,4.270009997,4.374461313,4.616094625,4.630779715,4.191152628,4.392572276
